2023-05-02 02:48:24 status unpacked liblinear4:amd64 2.3.0+dfsg-5
2023-05-02 02:48:24 status half-configured liblinear4:amd64 2.3.0+dfsg-5
2023-05-02 02:48:24 status installed liblinear4:amd64 2.3.0+dfsg-5
2023-05-02 02:48:24 configure libsm6:amd64 2:1.2.3-1 <none>
2023-05-02 02:48:24 status unpacked libsm6:amd64 2:1.2.3-1
2023-05-02 02:48:24 status half-configured libsm6:amd64 2:1.2.3-1
2023-05-02 02:48:24 status installed libsm6:amd64 2:1.2.3-1
2023-05-02 02:48:24 configure nmap:amd64 7.91+dfsg1+really7.80+dfsg1-2 <none>
2023-05-02 02:48:24 status unpacked nmap:amd64 7.91+dfsg1+really7.80+dfsg1-2
2023-05-02 02:48:24 status half-configured nmap:amd64 7.91+dfsg1+really7.80+dfsg1-2
2023-05-02 02:48:24 status installed nmap:amd64 7.91+dfsg1+really7.80+dfsg1-2
2023-05-02 02:48:24 configure libxt6:amd64 1:1.2.0-1 <none>
2023-05-02 02:48:24 status unpacked libxt6:amd64 1:1.2.0-1
2023-05-02 02:48:24 status half-configured libxt6:amd64 1:1.2.0-1
2023-05-02 02:48:24 status installed libxt6:amd64 1:1.2.0-1
2023-05-02 02:48:24 configure libxmu6:amd64 2:1.1.2-2+b3 <none>
2023-05-02 02:48:24 status unpacked libxmu6:amd64 2:1.1.2-2+b3
2023-05-02 02:48:24 status half-configured libxmu6:amd64 2:1.1.2-2+b3
2023-05-02 02:48:24 status installed libxmu6:amd64 2:1.1.2-2+b3
2023-05-02 02:48:24 configure dsniff:amd64 2.4b1+debian-30 <none>
2023-05-02 02:48:24 status unpacked dsniff:amd64 2.4b1+debian-30
2023-05-02 02:48:24 status half-configured dsniff:amd64 2.4b1+debian-30
2023-05-02 02:48:24 status installed dsniff:amd64 2.4b1+debian-30
2023-05-02 02:48:24 trigproc libc-bin:amd64 2.31-13+deb11u6 <none>
2023-05-02 02:48:24 status half-configured libc-bin:amd64 2.31-13+deb11u6
2023-05-02 02:48:25 status installed libc-bin:amd64 2.31-13+deb11u6
2023-05-02 02:48:25 trigproc man-db:amd64 2.9.4-2 <none>
2023-05-02 02:48:25 status half-configured man-db:amd64 2.9.4-2
2023-05-02 02:48:26 status installed man-db:amd64 2.9.4-2
